1	2	1
25	2	2
49	12	3
73	25	4
97	33	5
121	53	6
145	54	7
169	65	8
193	110	9
217	334	10
241	549	11
265	807	12
289	1065	13
313	1328	14
337	1791	15
361	2294	16
385	2856	17
409	3657	18
433	4658	19
457	5524	20
481	6498	21
505	7615	22
529	9334	23
553	10791	24
577	12744	25
601	14225	26
625	15718	27
649	17221	28
673	18970	29
697	20346	30
721	21504	31
745	22783	32
769	23993	33
793	24638	34
817	25635	35
841	27001	36
